amfi_code,sharpe_ratio
100016,0.24527560300482532
100025,1.097333206167821
100033,1.4369473708470777
101206,1.4733902246617054
101207,0.4146249051492598
101208,12.019194437293745
102885,1.323462830825912
102886,0.15259970553438965
102887,1.0319968802187685
118632,1.5410766340763604
118633,1.1095855754647814
118634,0.7059462251426323
118635,1.1655055743635738
118636,1.2742669352187932
119092,0.49671258305709676
119093,0.5944548466765557
119094,1.3331596554656326
119095,0.18333583360577993
119120,1.411916624674391
119551,1.6812885192947522
119552,1.4195847253808078
119598,1.2038544149893056
119599,0.20333310976407157
120503,1.2661229002514063
120504,1.4790513872428286
120505,1.5170467705867343
120506,1.075653537323248
120507,13.655945785490815
120841,0.97704872492299
120842,0.43923558539210494
120843,1.7158838646601755
120844,12.573992069234302
125497,1.2189055981104997
125498,0.654788450748299
148567,1.906240606112941
148568,1.3475679960106948
148569,1.602701754817662
149322,0.9168773182303246
149323,1.4983982875267543
149324,1.2114683832668276
